run_id,model,method,reward_mode,gpu_hours,gsm8k,math500,gsm_plus,aime24_pass@1,aime24_pass@8,aime24_pass@64,aime24_pass@256
dry_run_hub_fetch,dry,run,,,,,,,,,
q3-0.6b_eval_hub_fetch_smoke_0707,Qwen/Qwen3-0.6B,eval,,,0.25,,,,,,
q3-0.6b_eval_smoke_0707,Qwen/Qwen3-0.6B,eval,,,0.5,0.0,1.0,0.0,,,
q3-0.6b_grpo-gt_smoke_0705,Qwen/Qwen3-0.6B,grpo-gt,gt,0.123,,,,,,,
q3-0.6b_grpo-gt_smoke_0707,Qwen/Qwen3-0.6B,grpo-gt,gt,0.1234,,,,,,,
q3-0.6b_grpo-rand_smoke_0707,Qwen/Qwen3-0.6B,grpo-rand,random,0.1338,,,,,,,
q3-0.6b_sft_smoke_0705,Qwen/Qwen3-0.6B,sft,,0.0086,,,,,,,
q3-8b_base_none_0707,Qwen/Qwen3-8B,base,,,0.915845,0.688,0.751895,0.199479,0.366077,0.499185,0.566667
q3-8b_grpo-fmt_math4gpu_0710_k3,Qwen/Qwen3-8B,grpo-fmt,format,92.0162,0.498105,0.248,0.384951,0.001953,0.01523,0.099955,0.233333
q3-8b_grpo-fmt_math4gpu_0710_kl04,Qwen/Qwen3-8B,grpo-fmt,format,19.7392,,,,,,,
q3-8b_grpo-fmt_math_0707,Qwen/Qwen3-8B,grpo-fmt,format,0.0851,,,,,,,
q3-8b_grpo-gt_math4gpu_0709,Qwen/Qwen3-8B,grpo-gt,gt,43.6151,,,,,,,
q3-8b_grpo-gt_math4gpu_0710_k3,Qwen/Qwen3-8B,grpo-gt,gt,30.7146,,,,,,,
q3-8b_grpo-gt_math4gpu_0710_kl04,Qwen/Qwen3-8B,grpo-gt,gt,40.0799,,,,,,,
q3-8b_grpo-gt_math4gpu_0711_rfix,Qwen/Qwen3-8B,grpo-gt,gt,8.1322,,,,,,,
q3-8b_grpo-gt_math4gpu_0711_rfix2,Qwen/Qwen3-8B,grpo-gt,gt,21.5432,,,,,,,
q3-8b_grpo-gt_math4gpu_0711_rfix3,Qwen/Qwen3-8B,grpo-gt,gt,0.1167,,,,,,,
q3-8b_grpo-gt_math4gpu_0711_rfix4,Qwen/Qwen3-8B,grpo-gt,gt,0.1489,,,,,,,
q3-8b_grpo-gt_math4gpu_0711_rfix5,Qwen/Qwen3-8B,grpo-gt,gt,0.1518,,,,,,,
q3-8b_grpo-gt_math4gpu_0711_rfix6,Qwen/Qwen3-8B,grpo-gt,gt,24.8018,,,,,,,
q3-8b_grpo-gt_math_0707,Qwen/Qwen3-8B,grpo-gt,gt,0.1381,,,,,,,
q3-8b_grpo-rand_math4gpu_0710_k3_v3,Qwen/Qwen3-8B,grpo-rand,random,97.9078,0.563306,0.252,0.454985,0.001693,0.013287,0.091693,0.233333
q3-8b_grpo-rand_math4gpu_0710_kl04,Qwen/Qwen3-8B,grpo-rand,random,25.753,,,,,,,
q3-8b_grpo-rand_math_0707,Qwen/Qwen3-8B,grpo-rand,random,0.0881,,,,,,,
q3-8b_sft_tulu_0705,Qwen/Qwen3-8B,sft,,8.1665,0.861259,0.43,0.701289,0.020182,0.098917,0.3605,0.633333
